tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-nickname,animal-sex,attachment-type,deployment-end-type,deployment-id,manipulation-type,tag-manufacturer-name,tag-model,tag-readout-method
242657,1332-79054,Calidris canutus,2023-03-02 04:20:52.000,,,,u,,,,,Lotek,Sunbird Solar Argos,
242656,1332-64848,Calidris canutus,2023-03-02 04:22:07.000,2024-05-25 00:00:00.000,,,u,,,,,Lotek,Sunbird Solar Argos,
242658,1262-04907,Calidris canutus,2023-03-02 04:22:22.000,,,,u,,,,,Lotek,Sunbird Solar Argos,
260690,1332-72298,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260690-1332-72298,none,Lotek,Sunbird Solar Argos,satellite
260689,1332-72295,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260689-1332-72295,none,Lotek,Sunbird Solar Argos,satellite
260692,1332-72296,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260692-1332-72296,none,Lotek,Sunbird Solar Argos,satellite
260697,1332-72299,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260697-1332-72299,none,Lotek,Sunbird Solar Argos,satellite
260699,1332-72300,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260699-1332-72300,none,Lotek,Sunbird Solar Argos,satellite
260698,1332-72297,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260698-1332-72297,none,Lotek,Sunbird Solar Argos,satellite
260693,1332-72044,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260693-1332-72044,none,Lotek,Sunbird Solar Argos,satellite
260691,1332-72294,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260691-1332-72294,none,Lotek,Sunbird Solar Argos,satellite
260688,1332-72046,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260688-1332-72046,none,Lotek,Sunbird Solar Argos,satellite
260694,1332-72047,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260694-1332-72047,none,Lotek,Sunbird Solar Argos,satellite
260696,1332-72045,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260696-1332-72045,none,Lotek,Sunbird Solar Argos,satellite
260695,1332-72042,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,260695-1332-72042,none,Lotek,Sunbird Solar Argos,satellite
261373,1332-72043,Calidris canutus,2024-05-16 00:00:00.000,,adult,,u,glue,unknown,261373-1332-72043,none,Lotek,Sunbird Solar Argos,satellite
281661,LK4,Calidris canutus,2025-03-31 00:00:00.000,,,,,,,,,,,
281662,LM2,Calidris canutus,2025-03-31 00:00:00.000,,,,,,,,,,,
281663,LK1,Calidris canutus,2025-03-31 00:00:00.000,,,,,,,,,,,
281664,LA0,Calidris canutus,2025-03-31 00:00:00.000,,,,,,,,,,,
281917,LA7,Calidris canutus,2025-03-31 00:00:00.000,,,LA7,,,,,,,,
282286,LC8,Calidris canutus,2025-03-31 00:00:00.000,,,,,,,,,,,
282294,LC1,Calidris canutus,2025-03-31 00:00:00.000,,,LC1,,,,,,,,
282295,PHA,Calidris canutus,2025-03-31 00:00:00.000,,,,,,,,,,,
282297,LA2,Calidris canutus,2025-03-31 00:00:00.000,,,LA2,,,,,,,,
282298,LK8,Calidris canutus,2025-03-31 00:00:00.000,,,LK8,,,,,,,,
282306,LL1,Calidris canutus,2025-03-31 00:00:00.000,,,LL1,,,,,,,,
282308,LA3,Calidris canutus,2025-03-31 00:00:00.000,,,LA3,,,,,,,,
282309,PHP,Calidris canutus,2025-03-31 00:00:00.000,,,PHP,,,,,,,,
282310,4U*,Calidris canutus,2025-03-31 00:00:00.000,,,4U*,,,,,,,,
282282,LM6,Calidris canutus,2025-05-17 00:00:00.000,,,,,,,,,Lotek,,
282313,LN9,Calidris canutus,2025-05-17 00:00:00.000,,,,,,,,,,,
282291,LM9,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282283,LN7,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282288,LP7,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282287,LN8,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282289,LP8,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282312,LN0,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282292,LP1,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282311,LN5,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282299,LN4,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282285,LM0,Calidris canutus,2025-05-18 00:00:00.000,,,,,,,,,,,
282296,LN6,Calidris canutus,2025-05-18 01:00:00.000,,,,,,,,,,,
